# rocket_logger v3.3 rate=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1
t_ms,ax,ay,az,gx,gy,gz,snd
9650,-697,-1537,-1871,-3071,-8064,1942,764
9660,-835,-1540,-1845,-2859,-8313,2447,403
9670,-1013,-1649,-2149,-2645,-8601,2940,763
9680,-1171,-1771,-2323,-2564,-8982,3464,320
9690,-1324,-1881,-2404,-2431,-9292,3951,380
9700,-1541,-1949,-2575,-2392,-9705,4534,551
9710,-2081,-1893,-3108,-2339,-10178,5000,422
9720,-2689,-1848,-2989,-2367,-10770,5320,469
9730,-2796,-1603,-2934,-2400,-11206,5523,553
9740,-2925,-1560,-3029,-2496,-11645,5655,547
9750,-3307,-1558,-3275,-2587,-12053,5543,417
9760,-3411,-1400,-3440,-2731,-12449,5238,531
9771,-3098,-1145,-3337,-2887,-12588,4920,636
9780,-3159,-1080,-3672,-3052,-12610,4549,582
9790,-3003,-936,-3552,-3235,-12567,4113,554
9800,-2944,-690,-3352,-3411,-12458,3688,637
9810,-3022,-438,-3165,-3604,-12408,3308,719
9820,-3164,-300,-2999,-3738,-12417,2920,764
9830,-3162,-204,-2937,-3869,-12476,2462,397
9840,-3189,-152,-2806,-3947,-12545,1987,763
9850,-3088,-108,-2863,-4004,-12686,1511,763
9860,-3103,125,-2755,-4088,-12795,1016,764
9870,-2933,2,-2730,-4022,-12810,368,407
9880,-3028,-155,-2541,-4021,-12888,-241,764
9890,-2781,-381,-2713,-3835,-12819,-805,250
9900,-2550,-493,-2455,-3710,-12786,-1131,388
9910,-2363,-311,-2065,-3555,-12591,-1526,763
9920,-2011,-240,-2135,-3399,-12269,-2055,25
9930,-1648,-314,-1908,-3248,-11913,-2472,764
9940,-1148,-66,-1736,-3132,-11430,-2843,764
9950,-828,67,-1573,-3027,-10989,-3100,762
9960,-490,-219,-1517,-2901,-10508,-3251,178
9970,-93,-279,-1406,-2773,-10027,-3304,763
9980,-16,-338,-1266,-2599,-9556,-3325,25
9990,180,-23,-943,-2431,-9095,-3366,576
10000,300,-7,-922,-2241,-8646,-3304,556
10010,313,-99,-960,-2034,-8218,-3139,662
10020,300,-88,-1016,-1864,-7840,-2957,472
10030,308,-67,-970,-1724,-7483,-2814,591
10040,323,-92,-934,-1520,-7086,-2643,764
10050,273,-162,-913,-1360,-6788,-2459,282
10060,281,-116,-820,-1199,-6483,-2308,499
10070,236,-106,-798,-1084,-6263,-2173,764
10080,249,-86,-881,-974,-6067,-2002,710
10090,237,-120,-780,-846,-5857,-1812,763
10100,119,-78,-668,-756,-5740,-1603,764
10110,116,-112,-595,-618,-5664,-1409,764
10120,43,-180,-756,-516,-5682,-1234,764
10130,-33,-195,-817,-408,-5714,-1065,87
10140,-102,-126,-889,-306,-5785,-911,97
10150,-174,-159,-883,-214,-5902,-774,549
10160,-218,-143,-922,-118,-6026,-666,417
10170,-245,-150,-1143,-18,-6201,-542,628
10180,-409,-189,-1264,62,-6406,-423,479
10190,-483,-220,-1312,154,-6648,-306,370
10200,-571,-156,-1423,210,-6892,-209,444
10210,-702,-205,-1497,298,-7171,-103,520
10220,-722,-155,-1595,346,-7475,-18,510
10230,-962,-152,-1711,419,-7836,52,535
10240,-1175,-124,-1831,473,-8179,58,540
10250,-1425,28,-2040,504,-8625,-38,514
10260,-1641,106,-2263,556,-9063,-197,539
10270,-1725,20,-2495,616,-9552,-357,523
10280,-1704,-58,-2678,705,-9963,-432,525
10290,-1622,-273,-2740,817,-10288,-441,497
10300,-1634,-287,-2861,898,-10605,-432,531
10310,-1654,-163,-2985,1019,-10858,-454,522
10320,-1683,-149,-2984,1147,-11063,-454,497
10330,-1606,-281,-3129,1237,-11244,-454,499
10340,-1437,-338,-3030,1367,-11289,-425,558
10350,-1353,-344,-3084,1464,-11266,-333,538
10360,-1283,-354,-2907,1582,-11184,-219,540
10370,-1199,-350,-2795,1668,-11089,-59,542
