# rocket_logger v3.3 rate=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1
t_ms,ax,ay,az,gx,gy,gz,snd
6165,-1352,-1489,-248,15,19,-18,510
6168,-1359,-1481,-229,15,21,-19,509
6170,-1353,-1482,-248,9,23,-19,511
6173,-1356,-1483,-265,12,10,-15,507
6175,-1353,-1491,-256,16,12,-22,517
6177,-1353,-1487,-236,9,20,-20,518
6180,-1346,-1490,-244,13,16,-22,511
6182,-1341,-1483,-251,19,17,-14,508
6184,-1343,-1491,-238,13,29,-25,514
6188,-1352,-1489,-258,15,20,-21,506
6190,-1359,-1480,-245,9,13,-23,503
6193,-1360,-1489,-237,18,23,-14,508
6195,-1351,-1485,-244,13,16,-17,506
6201,-1340,-1491,-244,16,15,-17,511
6203,-1354,-1487,-252,10,28,-21,515
6206,-1363,-1477,-257,9,9,-20,509
6208,-1353,-1477,-248,11,19,-25,504
6210,-1351,-1479,-239,13,15,-20,503
6213,-1337,-1488,-257,16,12,-16,513
6215,-1347,-1483,-235,17,21,-13,508
6217,-1343,-1489,-240,12,26,-28,510
6220,-1359,-1491,-265,15,16,-16,518
6222,-1350,-1484,-266,11,22,-20,511
